Amount requested,Day,Month,Year
296000,30,7,2008
229950,31,7,2008
200250,1,8,2008
132200,2,8,2008
108400,3,8,2008
238200,4,8,2008
226043,5,8,2008
254900,6,8,2008
268700,7,8,2008
232900,8,8,2008
133800,9,8,2008
132000,10,8,2008
197500,11,8,2008
205000,12,8,2008
195075,13,8,2008
135000,14,8,2008
177000,15,8,2008
95200,16,8,2008
162500,17,8,2008
168675,18,8,2008
133050,19,8,2008
233200,20,8,2008
222000,21,8,2008
207800,22,8,2008
133100,23,8,2008
257000,24,8,2008
401850,25,8,2008
570500,26,8,2008
247800,27,8,2008
174000,28,8,2008
153600,29,8,2008
137100,30,8,2008
117600,31,8,2008
130075,1,9,2008
187200,2,9,2008
145700,3,9,2008
160000,4,9,2008
146200,5,9,2008
91325,6,9,2008
111700,7,9,2008
163000,8,9,2008
275420,9,9,2008
284900,10,9,2008
145000,11,9,2008
186500,12,9,2008
137750,13,9,2008
114300,14,9,2008
193300,15,9,2008
239200,16,9,2008
185000,17,9,2008
181100,18,9,2008
164000,19,9,2008
75600,20,9,2008
108000,21,9,2008
190400,22,9,2008
227525,23,9,2008
172075,24,9,2008
181900,25,9,2008
150400,26,9,2008
60250,27,9,2008
147000,28,9,2008
288400,29,9,2008
163200,30,9,2008
147050,1,10,2008
176100,2,10,2008
212250,3,10,2008
121300,4,10,2008
165050,5,10,2008
160225,6,10,2008
287200,7,10,2008
223100,8,10,2008
178300,9,10,2008
173500,10,10,2008
101700,11,10,2008
203100,12,10,2008
315050,13,10,2008
482120,14,10,2008
705000,15,10,2008
797275,16,10,2008
1068050,17,10,2008
796575,18,10,2008
561800,19,10,2008
1748862,20,10,2008
1369575,21,10,2008
1030000,22,10,2008
1041300,23,10,2008
767400,24,10,2008
819725,25,10,2008
942650,26,10,2008
828883,27,10,2008
941601,28,10,2008
1040200,29,10,2008
1329175,30,10,2008
997550,31,10,2008
726316,1,11,2008
854500,2,11,2008
1134100,3,11,2008
2441275,4,11,2008
1663700,5,11,2008
1605100,6,11,2008
1257973,7,11,2008
945150,8,11,2008
914683,9,11,2008
1407150,10,11,2008
1331363,11,11,2008
1666400,12,11,2008
1142375,13,11,2008
1189550,14,11,2008
833050,15,11,2008
1066425,16,11,2008
1475825,17,11,2008
1278350,18,11,2008
1452550,19,11,2008
1257375,20,11,2008
989400,21,11,2008
798650,22,11,2008
912300,23,11,2008
1351474,24,11,2008
1167000,25,11,2008
966288,26,11,2008
412600,27,11,2008
717900,28,11,2008
634500,29,11,2008
582725,30,11,2008
1239700,1,12,2008
837750,2,12,2008
942025,3,12,2008
972400,4,12,2008
917150,5,12,2008
741700,6,12,2008
805400,7,12,2008
1016700,8,12,2008
1191625,9,12,2008
1184850,10,12,2008
1298250,11,12,2008
900100,12,12,2008
450300,13,12,2008
518250,14,12,2008
862861,15,12,2008
1047400,16,12,2008
954500,17,12,2008
980725,18,12,2008
593895,19,12,2008
647800,20,12,2008
506800,21,12,2008
810500,22,12,2008
546225,23,12,2008
515550,24,12,2008
222500,25,12,2008
1037175,26,12,2008
389425,27,12,2008
1865575,28,12,2008
2654100,29,12,2008
1755250,30,12,2008
469800,31,12,2008
436000,1,1,2009
721650,2,1,2009
777600,3,1,2009
800600,4,1,2009
1226975,5,1,2009
1034825,6,1,2009
999475,7,1,2009
947950,8,1,2009
740575,9,1,2009
678875,10,1,2009
673700,11,1,2009
924150,12,1,2009
1152300,13,1,2009
1115609,14,1,2009
995650,15,1,2009
662450,16,1,2009
656694,17,1,2009
844700,18,1,2009
764446,19,1,2009
834250,20,1,2009
896093,21,1,2009
1122825,22,1,2009
983650,23,1,2009
918410,24,1,2009
985350,25,1,2009
1472230,26,1,2009
1272050,27,1,2009
1266902,28,1,2009
1134700,29,1,2009
891600,30,1,2009
595350,31,1,2009
504348,1,2,2009
1298998,2,2,2009
1055925,3,2,2009
1243225,4,2,2009
1057875,5,2,2009
726950,6,2,2009
535825,7,2,2009
722640,8,2,2009
945850,9,2,2009
817541,10,2,2009
843800,11,2,2009
947500,12,2,2009
611400,13,2,2009
500115,14,2,2009
597100,15,2,2009
985225,16,2,2009
981337,17,2,2009
1104150,18,2,2009
1116650,19,2,2009
970300,20,2,2009
679700,21,2,2009
533325,22,2,2009
1098725,23,2,2009
1377775,24,2,2009
1157675,25,2,2009
945100,26,2,2009
921050,27,2,2009
667275,28,2,2009
787999,1,3,2009
1167500,2,3,2009
1001750,3,3,2009
1568025,4,3,2009
1203042,5,3,2009
867100,6,3,2009
658425,7,3,2009
638525,8,3,2009
2182555,9,3,2009
1627323,10,3,2009
1261735,11,3,2009
1325000,12,3,2009
1034467,13,3,2009
1280375,14,3,2009
